PetID,Name,Type,Age Years,Primary Breed,Secondary Breed,Gender,Primary Color,Secondary Color,Tertiary Color,Maturity Size,FurLength,Vaccinated,Spayed,Health,Quantity,Fee,Zip Code,Video Amt,Photo Amt,Adopted ,Days to Adoption,Adoption Date
2278114,Smokey,cat,0,Russian Blue,,Male,Gray,,,medium,medium,yes,yes,healthy,1,0,92104,0,1,YES,1,10/9/2019
4.74E+06,Ninja,cat,1,Domestic Short Hair,,Male,Black,,,medium,short,no,no,healthy,1,0,92104,0,3,YES,54,10/30/2019
15770429,Soori,dog,3,Mixed Breed,,Female,Brown,Yellow,White,medium,short,yes,no,healthy,1,50,92104,0,1,NO,,
18188075,FRED,cat,0,Domestic Short Hair,,Male,Black,Gray,White,medium,medium,yes,yes,healthy,1,0,92102,0,4,YES,26,10/11/2019
2.21E+07,Katherine,cat,1,Domestic Short Hair,,Female,Black,Gray,,small,short,yes,unknown,healthy,1,0,92104,0,2,YES,1,10/12/2019
22606901,Pretty,dog,18,Mixed Breed,,Female,Cream,,,medium,medium,yes,yes,healthy,1,200,92104,0,3,NO,,
30387828,Little Abby,dog,1,Mixed Breed,,Female,Brown,,,medium,short,yes,yes,healthy,1,0,92104,0,1,YES,15,12/1/2019
34259113,Romeo,dog,15,Mixed Breed,,Male,Brown,Yellow,,medium,short,unknown,unknown,healthy,1,0,92104,0,4,NO,,
35992662,Baskin,dog,2,Mixed Breed,,Male,Black,Brown,White,medium,short,no,no,healthy,1,0,92111,0,3,YES,1,10/14/2029
37464956,Billie,dog,0,Poodle,,Male,Black,,,small,medium,yes,yes,healthy,1,0,92104,0,5,YES,20,12/1/2019
45543730,Spotted White Puppy,dog,2,Mixed Breed,,Female,Black,Brown,White,medium,short,no,no,healthy,1,0,92102,0,1,YES,1,11/13/2019
46256943,Callico,cat,2,Calico,,Female,Black,Yellow,White,medium,short,no,no,healthy,1,0,92104,0,12,YES,2,11/14/2019
47514286,Save Me Or I'll Die #17,dog,12,Mixed Breed,,Male,Brown,Cream,,medium,medium,unknown,unknown,healthy,1,0,92102,0,2,YES,11,11/15/2019
50277142,JY-M-02,dog,2,Mixed Breed,,Male,Black,Brown,,medium,short,no,no,healthy,1,0,92111,0,3,NO,,
56768390,Captain Wobbles,dog,2,Mixed Breed,Retriever,Female,White,,,medium,medium,no,no,healthy,1,0,92102,0,2,YES,29,12/1/2019
